"TRENIKO — free client & session tracker"
"Free to use and to change. No attribution needed. treniko.com"

"HOW TO USE"
"1. Fill in one row per client."
"2. ""Sessions remaining"" calculates itself — do not type over it."
"3. Update ""Sessions used"" as you complete sessions, not as you book them."
"4. Decide once whether a late cancellation and a no-show use a session,"
"   write it in Notes, and tell the client before it first costs them one."

"The two rows below are examples. Delete them."

"Client","Contact","Package","Sessions bought","Sessions used","Sessions remaining","Package start","Package expires","Amount paid","Payment status","Notes"
"Alex M.","alex@example.com","10-session pack","10","6","=D14-E14","2026-08-01","2026-11-01","300","Paid","Shoulder — no overhead press"
"Jordan T.","+385 xx xxx xxxx","20-session pack","20","18","=D15-E15","2026-06-15","2026-12-15","560","Paid","Renew conversation due"
"","","","","","=IF(D16="""","""",D16-E16)","","","","",""
"","","","","","=IF(D17="""","""",D17-E17)","","","","",""
"","","","","","=IF(D18="""","""",D18-E18)","","","","",""
"","","","","","=IF(D19="""","""",D19-E19)","","","","",""
"","","","","","=IF(D20="""","""",D20-E20)","","","","",""
"","","","","","=IF(D21="""","""",D21-E21)","","","","",""
"","","","","","=IF(D22="""","""",D22-E22)","","","","",""
"","","","","","=IF(D23="""","""",D23-E23)","","","","",""
"","","","","","=IF(D24="""","""",D24-E24)","","","","",""
"","","","","","=IF(D25="""","""",D25-E25)","","","","",""
"","","","","","=IF(D26="""","""",D26-E26)","","","","",""
"","","","","","=IF(D27="""","""",D27-E27)","","","","",""
"","","","","","=IF(D28="""","""",D28-E28)","","","","",""
"","","","","","=IF(D29="""","""",D29-E29)","","","","",""
"","","","","","=IF(D30="""","""",D30-E30)","","","","",""
"","","","","","=IF(D31="""","""",D31-E31)","","","","",""
"","","","","","=IF(D32="""","""",D32-E32)","","","","",""
"","","","","","=IF(D33="""","""",D33-E33)","","","","",""

"WEEKLY CHECK — ten minutes, and most of client retention"
"· Anyone with 2 or fewer sessions remaining — say something this week."
"· Anyone with an outstanding payment — one message, not a mental note."
"· Anyone who has not trained in 3 weeks and has not said why."

"When this stops being enough — usually somewhere past 15-20 clients, or"
"when you are keeping sessions in a calendar and payments here and the two"
"disagree — TRENIKO does the same job without the copying: treniko.com"
